customer_id,name,email,phone,city,join_date,segment,source_file,source_path,ingestion_time
C00017,dr. Tami Mayasari,tri73@example.net,+62 (55) 572 9127,Lubuklinggau,2026-05-15,Silver,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00018,Ayu Sinaga,eka35@example.com,+62 (990) 962-6777,Bandung,2025-09-10,Platinum,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00019,Hartana Jailani,shaniapradana@example.com,+62 (880) 316-9494,Banjarbaru,2024-08-15,Gold,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00020,"Galiono Novitasari, M.M.",marasanggriawan@example.com,+62 (0494) 607 2008,Kupang,2025-06-27,Gold,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00021,Iriana Ramadan,hutasoitgalih@example.com,+62-947-409-5704,Tasikmalaya,2025-09-04,Platinum,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00022,R.M. Sabri Hasanah,aris05@example.org,+62 (637) 448 9607,Singkawang,2024-07-10,Regular,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00023,"Rika Handayani, M.M.",jaka49@example.com,+62-018-337-4883,Cirebon,2026-04-30,Gold,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00024,Mahmud Susanti,daryani@example.com,+62 (047) 653-4762,Payakumbuh,2025-04-10,Regular,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00025,"Ir. Puput Manullang, S.IP",usamahartawan@example.com,+62-62-424-7693,Blitar,2026-04-04,Regular,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00026,"Tgk. Saiful Wijayanti, S.T.",nmulyani@example.org,083 993 6497,Blitar,2025-11-11,Gold,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00027,"Cut Gina Ramadan, S.Pd",mulyonolaksita@example.org,+62 (35) 007-7659,Pematangsiantar,2025-07-16,Regular,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00028,Chandra Hardiansyah,mahdi66@example.com,087 711 5396,Serang,2024-09-15,Regular,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00029,Limar Januar,yutami@example.net,+62 (098) 724-5947,Bitung,2026-02-20,Regular,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00030,"drg. Lala Rahmawati, S.T.",habibikartika@example.org,(0901) 904-7519,Kota Administrasi Jakarta Pusat,2025-01-07,Silver,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00031,Maimunah Suwarno,suryatmieman@example.org,(061) 021 7343,Cilegon,2026-05-08,Platinum,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00032,Gasti Mardhiyah,damanikgamanto@example.net,+62 (464) 850 6405,Banda Aceh,2025-07-04,Regular,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
C00033,Dr. Ciaobella Budiman,,+62 (18) 181-9139,Manado,2026-05-26,Regular,customers_20260710_023203.csv,/opt/airflow/data/raw/ages/customers/customers_20260710_023203.csv,2026-07-10 02:32:09
